productId,baseName,variantName,description,category,basePrice
OIQ-59,CHROMATOGRPHY COLUMN PLAIN WITH ROTA FLOW STOPCOCK EFECTIVE LENGTH 60CMX38MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",330
OIQ-60,BURETTE WITH ROTAFLOW STOPCOCK MEDIUM WALL 5ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",110
OIQ-61,BURETTE WITH ROTAFLOW STOPCOCK MEDIUM WALL 10ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",110
OIQ-62,BURETTE WITH ROTAFLOW STOPCOCK MEDIUM WALL 25ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",110
OIQ-63,BURETTE WITH ROTAFLOW STOPCOCK MEDIUM WALL 50ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",121
OIQ-64,BURETTE WITH ROTAFLOW STOPCOCK MEDIUM WALL 100ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",176
OIQ-65,BURETTE WITH GLASS STOPCOCK MEDIUM WALL 5ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",154
OIQ-66,BURETTE WITH GLASS STOPCOCK MEDIUM WALL 10ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",154
OIQ-67,BURETTE WITH GLASS STOPCOCK MEDIUM WALL 25ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",154
OIQ-68,BURETTE WITH GLASS STOPCOCK MEDIUM WALL 50ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",165
OIQ-69,BURETTE WITH GLASS STOPCOCK MEDIUM WALL 100ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",220
OIQ-70,MEASURING CYLINDER ROUND BASE CLASS B 5ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",52.8
OIQ-71,MEASURING CYLINDER ROUND BASE CLASS B 10ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",55
OIQ-72,MEASURING CYLINDER ROUND BASE CLASS B 25ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",66
OIQ-73,MEASURING CYLINDER ROUND BASE CLASS B 50ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",77
OIQ-74,MEASURING CYLINDER ROUND BASE CLASS B 100ML   ,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",105.6
OIQ-75,MEASURING CYLINDER ROUND BASE CLASS B 250ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",187
OIQ-76,MEASURING CYLINDER ROUND BASE CLASS B 500ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",264
OIQ-77,MEASURING CYLINDER ROUND BASE CLASS B 1000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",462
OIQ-78,MEASURING CYLINDER ROUND BASE CLASS B 2000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",880
OIQ-79,MEASURING CYLINDER HEXAGONAL BASE CLASS B 5ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",154
OIQ-80,MEASURING CYLINDER HEXAGONAL BASE CLASS B 10ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",154
OIQ-81,MEASURING CYLINDER HEXAGONAL BASE CLASS B 25ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",165
OIQ-82,MEASURING CYLINDER HEXAGONAL BASE CLASS B 50ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",209
OIQ-83,MEASURING CYLINDER HEXAGONAL BASE CLASS B 100ML   ,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",253
OIQ-84,MEASURING CYLINDER HEXAGONAL BASE CLASS B 250 ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",407
OIQ-85,MEASURING CYLINDER HEXAGONAL BASE CLASS B 500ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",605
OIQ-86,MEASURING CYLINDER HEXAGONAL BASE CLASS B 1000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",880
OIQ-87,MEASURING CYLINDER HEXAGONAL BASE CLASS B 2000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",1485
OIQ-88,NESSLERS CYLINDERS 50ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",39.6
OIQ-89,NESSLERS CYLINDERS 100ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",61.6
OIQ-90,CONDENSOR   LEIBIG WITH INTERCHANGEABLE JOINTS 200MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",209
OIQ-91,CONDENSOR   LEIBIG WITH INTERCHANGEABLE JOINTS 300MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",242
OIQ-92,CONDENSOR   LEIBIG WITH INTERCHANGEABLE JOINTS 400MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",308
OIQ-93,CONDENSOR   LEIBIG WITH INTERCHANGEABLE JOINTS 500MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",385
OIQ-94,BULB CONDENSOR WITH INTERCHANGEABLE JOINTS 200MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",286
OIQ-95,BULB CONDENSOR WITH INTERCHANGEABLE JOINTS 300MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",352
OIQ-96,BULB CONDENSOR WITH INTERCHANGEABLE JOINTS 400MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",440
OIQ-97,COIL CONDENSOR WITH INTERCHANGEABLE JOINTS 300MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",396
OIQ-98,COIL CONDENSOR WITH INTERCHANGEABLE JOINTS 400MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",484
OIQ-99,COIL CONDENSOR WITH INTERCHANGEABLE JOINTS 500MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",660
OIQ-100,SOXLET EXTRACTION APPARATUS WITH FLASK 60ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",792
OIQ-101,SOXLET EXTRACTION APPARATUS WITH FLASK 100ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",825
OIQ-102,SOXLET EXTRACTION APPARATUS WITH FLASK 200ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",1144
OIQ-103,SOXLET EXTRACTION APPARATUS WITH FLASK 400ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",2090
OIQ-104,GLASS DESSICATORS PLAIN IMPORTED 120MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",935
OIQ-105,GLASS DESSICATORS PLAIN IMPORTED 150MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",1210
OIQ-106,GLASS DESSICATORS PLAIN IMPORTED 210MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",2090
OIQ-107,GLASS DESSICATORS PLAIN IMPORTED 240MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",3190
OIQ-108,GLASS DESSICATORS PLAIN IMPORTED 300MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",4620
OIQ-109,GLASS DESSICATORS VACCUM IMPORTED 150MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",1760
OIQ-110,GLASS DESSICATORS VACCUM IMPORTED 210MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",3190
OIQ-111,GLASS DESSICATORS VACCUM IMPORTED 240MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",4070
OIQ-112,GLASS DESSICATORS VACCUM IMPORTED 300MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",5940
OIQ-113,SOCKETS B 10,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",39.6
OIQ-114,SOCKETS B 14,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",46.2
OIQ-115,SOCKETS B 19,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",52.8
OIQ-116,SOCKETS B 24,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",61.6
OIQ-117,SOCKETS B 29,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",96.8
OIQ-118,SOCKETS B 34,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",132
OIQ-119,"PETRI DISH 2""",,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",74.8
OIQ-120,"PETRI DISH 3""",,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",92.4
OIQ-121,"PETRI DISH 4""",,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",110
OIQ-122,"PETRI DISH 6""",,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",385
OIQ-123,"PETRI DISH 8""",,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",440
OIQ-124,"DISTILATION ASSEMBLY CONSISTING RB FLASK LEIBIG COND, RECIEVER ADOPTOR AND BEND 250 ML",,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",572
OIQ-125,"DISTILATION ASSEMBLY CONSISTING RB FLASK LEIBIG COND, RECIEVER ADOPTOR AND BEND 500 ML",,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",616
OIQ-126,"DISTILATION ASSEMBLY CONSISTING RB FLASK LEIBIG COND, RECIEVER ADOPTOR AND BEND 1000 ML",,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",825
OIQ-127,"DISTILATION ASSEMBLY CONSISTING RB FLASK LEIBIG COND, RECIEVER ADOPTOR AND BEND 2000ML",,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",1265
OIQ-128,THIEL TUBE 18X150MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",48.4
OIQ-129,THIEL TUBE 25X150MM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",61.6
OIQ-130,PYKNOMETER 5 ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",44
OIQ-131,PYKNOMETER 10ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",59.4
OIQ-132,PYKNOMETER 25 ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",88
OIQ-133,DROPPER WITH RUBBER TEAT BOROCILICATE GLASS 10CM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",8.8
OIQ-134,DROPPER WITH RUBBER TEAT BOROCILICATE GLASS 15CM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",8.8
OIQ-135,DROPPER WITH RUBBER TEAT BOROCILICATE GLASS 20CM,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",13.2
OIQ-136,RECTANGULAR MEUSUM JARS WITH GLASS COVER IMPORTED 140X210X100,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",1430
OIQ-137,RECTANGULAR MEUSUM JARS WITH GLASS COVER IMPORTED 210X170X130,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",1430
OIQ-138,RECTANGULAR MEUSUM JARS WITH GLASS COVER IMPORTED 220X140X140,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",1430
OIQ-139,RECTANGULAR MEUSUM JARS WITH GLASS COVER IMPORTED 225X225X125,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",2090
OIQ-140,RECTANGULAR MEUSUM JARS WITH GLASS COVER IMPORTED 250x250x150,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",2860
OIQ-141,VOLUMETRIC FLASK WITH HOLLOW STOPPERS 5 ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",50.6
OIQ-142,VOLUMETRIC FLASK WITH HOLLOW STOPPERS 10ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",61.6
OIQ-143,VOLUMETRIC FLASK WITH HOLLOW STOPPERS 25ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",66
OIQ-144,VOLUMETRIC FLASK WITH HOLLOW STOPPERS 50ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",74.8
OIQ-145,VOLUMETRIC FLASK WITH HOLLOW STOPPERS 100ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",92.4
OIQ-146,VOLUMETRIC FLASK WITH HOLLOW STOPPERS 250ML  ,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",136.4
OIQ-147,VOLUMETRIC FLASK WITH HOLLOW STOPPERS 500ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",242
OIQ-148,VOLUMETRIC FLASK WITH HOLLOW STOPPERS 1000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",341
OIQ-149,VOLUMETRIC FLASK WITH HOLLOW STOPPERS 2000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",682
OIQ-150,VOLUMETRIC FLASK WITH HOLLOW STOPPERS AMBER COLOUR 5 ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",121
OIQ-151,VOLUMETRIC FLASK WITH HOLLOW STOPPERS AMBER COLOUR 10ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",143
OIQ-152,VOLUMETRIC FLASK WITH HOLLOW STOPPERS AMBER COLOUR 25ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",154
OIQ-153,VOLUMETRIC FLASK WITH HOLLOW STOPPERS AMBER COLOUR 50ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",176
OIQ-154,VOLUMETRIC FLASK WITH HOLLOW STOPPERS AMBER COLOUR 100ML   ,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",242
OIQ-155,VOLUMETRIC FLASK WITH HOLLOW STOPPERS AMBER COLOUR 250ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",352
OIQ-156,VOLUMETRIC FLASK WITH HOLLOW STOPPERS AMBER COLOUR 500ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",495
OIQ-157,VOLUMETRIC FLASK WITH HOLLOW STOPPERS AMBER COLOUR 1000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",770
OIQ-158,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 10ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",39.6
OIQ-159,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 25ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",44
OIQ-160,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 50ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",48.4
OIQ-161,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 100ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",55
OIQ-162,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 150ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",72.6
OIQ-163,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 250ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",88
OIQ-164,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 500ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",143
OIQ-165,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 1000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",242
OIQ-166,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 2000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",605
OIQ-167,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 3000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",1045
OIQ-168,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK 5000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",1760
OIQ-169,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK WITH STANDARD JOINT 10ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",66
OIQ-170,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK WITH STANDARD JOINT 25ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",74.8
OIQ-171,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK WITH STANDARD JOINT 50ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",79.2
OIQ-172,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK WITH STANDARD JOINT 100ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",83.6
OIQ-173,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK WITH STANDARD JOINT 250ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",132
OIQ-174,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK WITH STANDARD JOINT 500ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",176
OIQ-175,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK WITH STANDARD JOINT 1000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",286
OIQ-176,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK WITH STANDARD JOINT 2000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",726
OIQ-177,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK WITH STANDARD JOINT 3000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",1155
OIQ-178,CONICAL FLASK/FLAT BOTTOM/ROUND BOTTOM FLASK WITH STANDARD JOINT 5000ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",1870
OIQ-179,IODINE FLASK 100ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",143
OIQ-180,IODINE FLASK 250ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",176
OIQ-181,IODINE FLASK 500ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",242
OIQ-182,PIPETTE VOLUMETRIC ONE MARK CLASS B 1ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",33
OIQ-183,PIPETTE VOLUMETRIC ONE MARK CLASS B 2ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",33
OIQ-184,PIPETTE VOLUMETRIC ONE MARK CLASS B 5ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",33
OIQ-185,PIPETTE VOLUMETRIC ONE MARK CLASS B 10ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",39.6
OIQ-186,PIPETTE VOLUMETRIC ONE MARK CLASS B 20ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",44
OIQ-187,PIPETTE VOLUMETRIC ONE MARK CLASS B 25ML  ,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",44
OIQ-188,PIPETTE VOLUMETRIC ONE MARK CLASS B 50ML   ,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",66
OIQ-189,PIPETTE VOLUMETRIC ONE MARK CLASS B 100ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",110
OIQ-190,PIPETTE GRADUATED SERLOGICAL AND MOHAR TYPE       CLASS B 0.1ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",37.4
OIQ-191,PIPETTE GRADUATED SERLOGICAL AND MOHAR TYPE       CLASS B 0.2ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",37.4
OIQ-192,PIPETTE GRADUATED SERLOGICAL AND MOHAR TYPE       CLASS B 0.5ML   ,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",37.4
OIQ-193,PIPETTE GRADUATED SERLOGICAL AND MOHAR TYPE       CLASS B 1ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",37.4
OIQ-194,PIPETTE GRADUATED SERLOGICAL AND MOHAR TYPE       CLASS B 2ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",39.6
OIQ-195,PIPETTE GRADUATED SERLOGICAL AND MOHAR TYPE       CLASS B 5ML,,,"Borosilicate Glassware, Chemistry Lab, Biology Lab",41.8
